customer_id,customer_age,customer_gender
C10000,54,Male
C10001,62,Male
C10002,65,Other
C10003,38,Male
C10004,65,Female
C10005,39,Male
C10006,64,Female
C10007,65,Other
C10008,37,Male
C10009,61,Other
C10010,50,Male
C10011,68,Male
C10012,59,Male
C10013,66,Female
C10014,31,Male
C10015,52,Male
C10016,62,Other
C10017,50,Male
C10018,69,Male
C10019,60,Male
C10020,66,Male
C10021,59,Male
C10022,47,Male
C10023,64,Male
C10024,67,Male
C10025,59,Male
C10026,54,Male
C10027,67,Other
C10028,68,Male
C10029,42,Male
C10030,63,Male
C10031,67,Female
C10032,45,Other
C10033,21,Female
C10034,30,Female
C10035,43,Female
C10036,30,Male
C10037,55,Male
C10038,59,Male
C10039,55,Female
C10040,38,Male
C10041,61,Male
C10042,64,Male
C10043,67,Male
C10044,63,Male
C10045,68,Female
C10046,42,Female
C10047,61,Male
C10048,63,Male
C10049,63,Male
C10050,41,Male
C10051,59,Male
C10052,58,Other
C10053,57,Other
C10054,61,Male
C10055,69,Male
C10056,60,Female
C10057,48,Male
C10058,69,Male
C10059,66,Male
C10060,65,Male
C10061,36,Male
C10062,48,Male
C10063,59,Male
C10064,59,Male
C10065,59,Male
C10066,65,Male
C10067,67,Male
C10068,62,Male
C10069,61,Male
C10070,69,Male
C10071,68,Other
C10072,68,Male
C10073,69,Male
C10074,64,Other
C10075,34,Male
C10076,66,Male
C10077,35,Female
C10078,61,Male
C10079,68,Male
C10080,61,Male
C10081,57,Male
C10082,43,Male
C10083,68,Male
C10084,69,Male
C10085,44,Male
C10086,57,Male
C10087,62,Other
C10088,63,Other
C10089,67,Male
C10090,55,Male
C10091,58,Female
C10092,64,Male
C10093,54,Female
C10094,64,Male
C10095,68,Male
C10096,37,Male
C10097,63,Other
C10098,67,Male
C10099,66,Male
C10100,55,Male
C10101,47,Male
C10102,60,Male
C10103,30,Female
C10104,52,Other
C10105,69,Other
C10106,59,Male
C10107,47,Male
C10108,48,Female
C10109,60,Male
C10110,68,Other
C10111,67,Other
C10112,67,Female
C10113,63,Male
C10114,64,Male
C10115,67,Other
C10116,60,Other
C10117,55,Male
C10118,57,Male
C10119,38,Other
C10120,65,Male
C10121,54,Female
C10122,68,Male
C10123,61,Male
C10124,67,Other
C10125,61,Male
C10126,37,Female
C10127,58,Male
C10128,52,Male
C10129,62,Male
C10130,56,Male
C10131,67,Male
C10132,68,Female
C10133,57,Male
C10134,51,Male
C10135,63,Male
C10136,60,Male
C10137,66,Male
C10138,62,Other
C10139,64,Other
C10140,48,Male
C10141,65,Male
C10142,60,Male
