order_id,customer_id,product_id,order_date,delivered_date,quantity,payment_method,region,total_amount,shipping_cost,profit_margin
O100000,C17270,P234890,2023-12-23,2023-12-27,1,Credit Card,West,139.47,7.88,31.17
O100001,C17603,P228204,25-/2-3/,25-/2-9/,1,Credit Card,South,24.73,4.6,-2.62
O100002,C10860,P213892,024-0/-8/,2024-10-12,1,Credit Card,North,166.8,6.58,13.44
O100003,C15390,P208689,024-9/-14,024-9/-20,1,UPI,South,63.67,5.5,2.14
O100004,C15226,P228063,2024-12-21,2024-12-27,1,COD,East,13.88,2.74,1.15
O100005,C15191,P214062,024-4/-14,024-4/-19,2,Credit Card,South,97.04,6.32,37.35
O100006,C13772,P201363,025-5/-20,025-5/-25,1,PayPal,East,266.5,9.1,22.88
O100007,C13092,P216691,023-9/-14,023-9/-18,1,Credit Card,West,9.98,4.51,-0.02
O100008,C15734,P202751,2023-10-23,2023-10-29,1,Debit Card,West,6.28,3.43,-1.23
O100009,C16265,P207782,2023-10-31,023-1/-6/,1,Credit Card,South,10.91,2.76,-1.89
O100010,C10466,P217648,24-/2-7/,024-2/-12,1,Debit Card,South,5.95,2.16,0.52
O100011,C15334,P212540,24-/2-8/,024-7/-13,1,PayPal,South,16.22,3.72,3.58
O100012,C14426,P245991,2024-10-13,2024-10-17,1,Credit Card,West,9.5,4.99,-4.23
O100013,C15578,P205339,023-1/-1/,023-1/-6/,1,Debit Card,North,7.12,3.35,-0.5
O100014,C16231,P227020,025-2/-24,025-2/-27,2,Credit Card,North,78.38,7.91,14.04
O100015,C13444,P227609,24-/2-3/,24-/2-6/,4,Credit Card,North,40.42,6.19,5.13
O100016,C13171,P205848,024-8/-25,024-8/-29,1,PayPal,West,91.78,3.6,23.93
O100017,C12919,P216877,024-9/-12,024-9/-17,3,PayPal,South,48.0,4.48,12.32
O100018,C17831,P218405,025-6/-20,025-6/-24,2,Wallet,South,1468.64,10.9,165.34
O100019,C10130,P248629,2024-10-10,2024-10-13,1,Credit Card,North,50.52,6.2,11.48
O100020,C11685,P246233,024-5/-10,024-5/-14,2,PayPal,West,35.98,5.56,8.83
O100021,C17476,P221471,2024-11-14,2024-11-20,1,COD,North,39.54,5.3,8.54
O100022,C10769,P203302,2024-12-14,2024-12-18,1,Debit Card,North,128.8,7.77,7.69
O100023,C12391,P214437,025-5/-16,025-5/-23,1,Debit Card,South,176.45,6.67,55.09
O100024,C15611,P247930,024-4/-16,024-4/-21,2,Debit Card,Central,587.47,9.48,166.76
O100025,C17581,P214512,024-8/-31,24-/2-7/,3,UPI,East,37.47,5.46,11.4
O100026,C16949,P232436,025-8/-26,025-8/-31,1,Debit Card,South,133.63,6.75,33.34
O100027,C12433,P223511,025-8/-19,025-8/-23,2,Debit Card,West,22.48,6.09,1.78
O100028,C15311,P205022,024-5/-27,24-/2-2/,2,PayPal,South,41.94,4.61,-1.25
O100029,C15051,P243239,2023-10-11,2023-10-17,2,UPI,East,108.84,8.05,22.43
O100030,C16420,P206155,2023-11-12,2023-11-18,1,Credit Card,South,46.69,5.74,7.33
O100031,C11184,P231480,24-/2-8/,024-4/-15,1,Debit Card,East,8.77,1.24,-0.54
O100032,C14555,P238022,2023-12-30,24-/2-4/,1,Credit Card,North,7.56,2.06,-1.46
O100033,C13385,P225332,24-/2-6/,024-8/-10,1,Credit Card,South,21.21,4.26,2.1
O100034,C14117,P204354,24-/2-8/,024-8/-11,2,Debit Card,North,25.68,6.32,-4.27
O100035,C16396,P231847,24-/2-4/,24-/2-8/,2,Credit Card,South,17.78,4.78,3.22
O100036,C14843,P235284,025-5/-27,25-/2-1/,2,Debit Card,South,67.8,4.98,18.75
O100037,C12904,P248640,024-7/-10,024-7/-15,1,Credit Card,West,17.92,5.86,0.41
O100038,C17728,P210156,025-2/-13,025-2/-20,2,Credit Card,West,101.5,6.46,39.22
O100039,C10474,P222453,024-8/-17,024-8/-23,1,Credit Card,West,11.14,4.4,0.61
