product_id,category,price,discount
P200000,Sports,133.15,0.1
P200001,Sports,168.11,0.1
P200002,Grocery,112.68,0.15
P200003,Home,58.19,0.0
P200005,Beauty,6.8,0.05
P200008,Toys,8.55,0.0
P200009,Electronics,680.65,0.2
P200010,Fashion,145.49,0.15
P200011,Fashion,7.76,0.0
P200013,Grocery,685.26,0.2
P200014,Toys,23.77,0.0
P200015,Home,97.68,0.0
P200016,Fashion,183.02,0.3
P200017,Home,218.12,0.0
P200018,Home,124.3,0.0
P200019,Toys,90.7,0.15
P200025,Sports,412.0,0.05
P200026,Toys,3.8,0.05
P200028,Beauty,68.43,0.0
P200030,Home,154.17,0.0
P200031,Sports,202.56,0.0
P200036,Sports,47.98,0.05
P200037,Home,157.18,0.05
P200038,Grocery,14.85,0.0
P200040,Sports,64.15,0.0
P200042,Fashion,76.85,0.0
P200043,Sports,111.32,0.15
P200044,Fashion,115.95,0.0
P200046,Fashion,5.9,0.0
P200047,Fashion,6.27,0.1
P200051,Sports,85.4,0.05
P200056,Home,39.29,0.05
P200059,Toys,7.55,0.0
P200061,Beauty,19.87,0.2
P200062,Electronics,767.05,0.0
P200063,Sports,97.8,0.15
P200065,Home,153.87,0.0
P200067,Home,81.6,0.1
P200069,Sports,49.89,0.0
P200071,Fashion,115.8,0.0
P200073,Home,417.18,0.0
P200076,Toys,6.93,0.05
P200078,Fashion,55.99,0.0
P200081,Electronics,251.57,0.0
P200082,Grocery,284.68,0.0
P200084,Electronics,102.91,0.2
P200085,Grocery,4.95,0.0
P200089,Home,196.01,0.05
P200090,Electronics,146.04,0.1
P200091,Fashion,114.47,0.15
P200092,Sports,62.37,0.3
P200096,Fashion,274.43,0.15
P200099,Sports,44.85,0.0
P200100,Home,242.08,0.0
P200104,Grocery,38.35,0.0
P200105,Electronics,275.29,0.0
P200107,Electronics,737.07,0.1
P200111,Home,130.84,0.15
P200113,Electronics,78.38,0.3
P200116,Grocery,2.01,0.3
P200118,Home,168.42,0.0
P200121,Sports,46.05,0.1
P200122,Grocery,24.87,0.1
P200123,Electronics,67.82,0.15
P200125,Toys,28.65,0.0
P200126,Fashion,10.55,0.0
P200129,Sports,59.8,0.0
P200131,Electronics,680.13,0.1
P200132,Fashion,64.98,0.0
P200133,Grocery,111.74,0.15
P200134,Fashion,9.63,0.0
P200138,Toys,60.72,0.0
P200139,Toys,18.01,0.0
P200141,Sports,133.16,0.1
P200143,Sports,245.81,0.2
P200145,Sports,106.19,0.0
P200148,Sports,98.37,0.0
P200152,Grocery,12.82,0.0
P200153,Fashion,11.8,0.0
P200157,Fashion,102.0,0.0
P200159,Sports,39.8,0.15
P200160,Sports,210.65,0.0
P200163,Home,134.84,0.0
P200164,Home,79.56,0.15
P200165,Beauty,62.32,0.05
P200166,Sports,103.93,0.0
P200168,Fashion,74.98,0.05
P200169,Home,202.58,0.0
P200171,Home,310.26,0.0
P200172,Beauty,17.4,0.05
P200173,Grocery,61.77,0.0
P200174,Sports,26.81,0.0
P200177,Home,233.46,0.0
P200178,Home,194.88,0.05
P200181,Home,146.9,0.0
P200183,Electronics,150.81,0.0
P200187,Toys,17.53,0.15
P200188,Grocery,5.63,0.0
P200193,Beauty,8.35,0.0
P200200,Toys,5.38,0.05
P200201,Grocery,3.89,0.1
P200202,Sports,69.88,0.0
P200203,Sports,152.41,0.2
P200204,Home,153.33,0.05
P200206,Electronics,298.68,0.05
P200207,Sports,63.24,0.2
P200208,Beauty,20.0,0.1
P200209,Toys,1419.07,0.15
P200213,Electronics,1023.74,0.1
P200214,Toys,12.68,0.05
P200215,Beauty,36.29,0.0
P200217,Sports,272.27,0.0
P200218,Fashion,18.66,0.1
P200220,Fashion,14.49,0.05
P200223,Beauty,30.68,0.0
P200227,Sports,85.2,0.0
P200228,Toys,569.7,0.2
P200229,Home,13.51,0.0
P200230,Grocery,16.08,0.0
P200232,Sports,178.1,0.0
P200233,Sports,197.62,0.1
P200234,Toys,3.01,0.0
P200235,Electronics,583.69,0.0
P200236,Beauty,66.02,0.0
P200240,Toys,31.91,0.05
P200241,Home,177.0,0.05
P200243,Sports,66.94,0.05
P200246,Beauty,21.05,0.15
P200247,Fashion,77.38,0.15
P200249,Beauty,7.42,0.0
P200252,Home,184.86,0.0
P200257,Electronics,132.5,0.0
P200258,Beauty,32.97,0.15
P200259,Toys,274.72,0.15
P200260,Home,190.15,0.15
P200263,Toys,23.11,0.0
P200264,Fashion,59.54,0.0
P200275,Fashion,10.42,0.15
P200279,Home,102.5,0.1
P200284,Home,114.21,0.1
P200286,Sports,191.39,0.05
P200288,Electronics,245.04,0.0
P200289,Sports,231.98,0.05
P200290,Sports,539.69,0.15
P200291,Fashion,21.59,0.15
P200292,Grocery,10.67,0.1
