return_id,order_id,request_date,return_reason
1904,O100019,2024-10-16,Missing/Wrong item
1905,O100067,024-3/-15,No longer needed
1906,O100100,025-3/-12,Not as described
1907,O100124,024-3/-19,Missing/Wrong item
1908,O100126,2024-10-15,Defective
1909,O100224,025-7/-29,No longer needed
1910,O100252,024-9/-21,Not as described
1911,O100269,2023-12-12,Missing/Wrong item
1912,O100290,25-/2-3/,Missing/Wrong item
1913,O100297,025-9/-22,Defective
1914,O100324,024-2/-22,Not as described
1915,O100342,024-9/-13,Defective
1916,O100368,025-9/-10,No longer needed
1917,O100394,024-9/-29,No longer needed
1918,O100415,2024-12-23,Not as described
1919,O100427,024-0/-5/,Slow delivery
1920,O100435,025-8/-21,Not as described
1921,O100460,2023-12-31,Missing/Wrong item
1922,O100481,024-2/-3/,Missing/Wrong item
1923,O100493,023-9/-27,Defective
1924,O100501,024-9/-14,No longer needed
1925,O100504,025-2/-20,No longer needed
1926,O100508,024-2/-18,Defective
1927,O100518,025-8/-10,Not as described
1928,O100543,2023-12-24,No longer needed
1929,O100589,25-/2-6/,Defective
1930,O100598,024-6/-26,Defective
1931,O100637,024-3/-25,No longer needed
1932,O100683,25-/2-8/,Missing/Wrong item
1933,O100684,24-/2-5/,Not as described
1934,O100716,2023-10-23,No longer needed
1935,O100817,25-/2-8/,Missing/Wrong item
1936,O100826,024-5/-28,Defective
1937,O100851,24-/2-6/,Not as described
1938,O100864,025-5/-20,Defective
1939,O100882,24-/2-3/,Defective
1940,O100908,024-1/-8/,No longer needed
1941,O100956,025-2/-20,Not as described
1942,O100995,25-/2-5/,Missing/Wrong item
1943,O101013,025-9/-20,No longer needed
1944,O101026,025-7/-21,Defective
1945,O101033,24-/2-4/,Defective
1946,O101034,025-7/-31,Not as described
1947,O101062,025-3/-22,Defective
1948,O101091,2024-12-18,Defective
1949,O101125,25-/2-2/,No longer needed
1950,O101133,25-/2-9/,Defective
1951,O101139,025-1/-31,No longer needed
1952,O101165,24-/2-6/,Not as described
1953,O101168,2024-12-18,Not as described
1954,O101174,2024-10-28,Not as described
1955,O101184,024-3/-30,Not as described
1956,O101185,024-1/-8/,No longer needed
1957,O101193,024-2/-29,Defective
1958,O101240,024-2/-17,Not as described
1959,O101261,2023-10-29,No longer needed
1960,O101322,024-8/-15,Defective
1961,O101373,2024-11-15,No longer needed
1962,O101391,024-2/-18,Not as described
1963,O101401,025-2/-18,No longer needed
1964,O101408,025-8/-16,No longer needed
1965,O101419,25-/2-5/,Defective
1966,O101429,024-9/-29,Not as described
1967,O101437,24-/2-2/,Defective
1968,O101446,024-9/-16,Defective
1969,O101450,025-4/-11,Missing/Wrong item
1970,O101452,2023-10-29,Defective
1971,O101489,25-/2-4/,Defective
1972,O101505,2023-10-13,Missing/Wrong item
1973,O101506,25-/2-8/,Defective
1974,O101556,025-7/-14,Not as described
1975,O101608,025-7/-21,No longer needed
1976,O101624,024-7/-26,Missing/Wrong item
1977,O101657,24-/2-5/,Slow delivery
1978,O101695,24-/2-2/,Missing/Wrong item
1979,O101721,025-8/-24,Defective
1980,O101735,024-5/-25,Missing/Wrong item
1981,O101738,025-8/-10,Not as described
1982,O101802,024-8/-29,Defective
1983,O101807,025-6/-24,Defective
1984,O101836,024-7/-13,Not as described
1985,O101874,024-4/-19,Defective
1986,O101906,024-7/-20,Defective
1987,O101932,025-7/-31,Defective
1988,O101934,24-/2-1/,Not as described
1989,O101939,024-1/-22,Defective
1990,O101961,024-9/-25,Not as described
1991,O101978,024-3/-24,Not as described
1992,O101981,024-6/-25,No longer needed
1993,O102050,024-0/-9/,Not as described
1994,O102102,025-2/-15,Missing/Wrong item
1995,O102103,024-3/-17,Missing/Wrong item
1996,O102112,024-0/-3/,No longer needed
1997,O102120,24-/2-4/,Defective
1998,O102122,024-9/-18,Missing/Wrong item
1999,O102126,025-7/-30,Not as described
2000,O102153,024-9/-28,Missing/Wrong item
2001,O102162,24-/2-6/,No longer needed
2002,O102167,24-/2-8/,No longer needed
2003,O102172,024-1/-1/,Defective
2004,O102193,024-5/-26,Missing/Wrong item
2005,O102201,025-4/-13,No longer needed
2006,O102221,2023-10-26,No longer needed
2007,O102230,2024-10-28,Not as described
2008,O102248,25-/2-7/,Not as described
2009,O102252,2023-12-15,No longer needed
2010,O102330,024-9/-25,Missing/Wrong item
2011,O102342,24-/2-6/,Defective
2012,O102375,025-9/-15,Not as described
2013,O102424,024-5/-16,Not as described
2014,O102426,25-/2-8/,Defective
2015,O102437,025-2/-19,Not as described
2016,O102453,025-3/-26,Missing/Wrong item
2017,O102516,025-6/-21,Missing/Wrong item
2018,O102523,024-1/-25,Defective
2019,O102536,025-3/-28,Defective
2020,O102543,024-4/-24,No longer needed
2021,O102563,025-6/-20,Defective
2022,O102568,024-9/-30,Missing/Wrong item
2023,O102574,024-3/-18,Defective
2024,O102587,025-2/-12,Missing/Wrong item
2025,O102618,2023-11-27,No longer needed
2026,O102637,024-2/-15,No longer needed
2027,O102640,024-7/-15,Missing/Wrong item
2028,O102641,025-9/-21,No longer needed
2029,O102687,025-7/-24,Defective
2030,O102690,25-/2-9/,Not as described
2031,O102705,024-2/-15,Missing/Wrong item
2032,O102721,024-5/-19,Not as described
2033,O102729,024-9/-29,Not as described
2034,O102735,025-1/-15,No longer needed
2035,O102748,024-6/-11,Missing/Wrong item
2036,O102755,025-9/-23,Defective
2037,O102763,025-2/-20,Missing/Wrong item
2038,O102789,023-9/-24,Missing/Wrong item
2039,O102825,25-/2-9/,Not as described
2040,O102836,024-5/-28,No longer needed
2041,O102844,25-/2-9/,No longer needed
2042,O102850,024-9/-15,Missing/Wrong item
2043,O102857,024-6/-21,No longer needed
2044,O102863,2023-10-30,Missing/Wrong item
2045,O102885,24-/2-5/,Defective
2046,O102909,024-4/-28,Not as described
2047,O102924,024-8/-21,No longer needed
2048,O102967,025-2/-27,Missing/Wrong item
2049,O102987,024-4/-27,Not as described
2050,O102990,025-3/-13,Defective
2051,O103019,025-9/-20,Missing/Wrong item
2052,O103043,2023-12-12,No longer needed
2053,O103103,025-8/-28,Slow delivery
2054,O103129,25-/2-8/,Defective
2055,O103183,023-1/-5/,Defective
2056,O103204,024-6/-13,Missing/Wrong item
2057,O103207,025-5/-19,Defective
2058,O103211,025-8/-19,No longer needed
2059,O103234,24-/2-8/,Missing/Wrong item
2060,O103256,24-/2-2/,Not as described
2061,O103298,024-2/-16,Defective
2062,O103313,024-1/-18,No longer needed
2063,O103326,025-6/-11,No longer needed
2064,O103329,024-6/-24,Not as described
2065,O103365,2024-12-22,Not as described
2066,O103369,25-/2-9/,Defective
2067,O103373,025-7/-23,Defective
2068,O103401,025-1/-21,Not as described
2069,O103406,024-5/-16,No longer needed
2070,O103430,2023-11-30,Missing/Wrong item
2071,O103461,025-9/-21,Missing/Wrong item
2072,O103469,24-/2-4/,No longer needed
2073,O103491,025-5/-13,No longer needed
2074,O103497,2024-12-12,Not as described
2075,O103517,025-1/-19,Defective
2076,O103527,2024-11-17,No longer needed
2077,O103544,024-7/-19,Not as described
2078,O103569,24-/2-1/,Not as described
2079,O103624,024-1/-23,Slow delivery
2080,O103636,2023-12-12,Defective
2081,O103655,2023-11-18,Defective
2082,O103686,24-/2-2/,No longer needed
2083,O103712,25-/2-6/,No longer needed
2084,O103731,024-5/-18,Missing/Wrong item
2085,O103739,25-/2-9/,Not as described
2086,O103757,024-2/-25,Missing/Wrong item
2087,O103766,025-8/-26,No longer needed
2088,O103774,023-0/-4/,Missing/Wrong item
2089,O103801,025-8/-18,Not as described
2090,O103844,024-9/-18,No longer needed
2091,O103867,2023-10-26,No longer needed
2092,O103869,024-5/-23,Defective
2093,O103904,2024-11-16,Defective
2094,O103906,2023-12-14,Missing/Wrong item
2095,O103912,024-3/-17,Defective
2096,O103953,023-2/-1/,Missing/Wrong item
2097,O103954,025-6/-14,Defective
2098,O103960,2023-10-24,Defective
2099,O103966,025-7/-29,Defective
2100,O103997,2023-12-30,Not as described
2101,O104010,24-/2-2/,Missing/Wrong item
2102,O104033,024-1/-14,Defective
2103,O104071,025-6/-17,Defective
2104,O104094,023-2/-1/,Not as described
2105,O104099,25-/2-5/,Missing/Wrong item
2106,O104101,2024-12-22,No longer needed
2107,O104152,25-/2-1/,Slow delivery
2108,O104183,025-6/-17,No longer needed
2109,O104196,25-/2-6/,No longer needed
2110,O104208,25-/2-7/,Defective
2111,O104260,025-5/-25,Missing/Wrong item
2112,O104299,024-5/-19,Not as described
2113,O104307,024-5/-20,No longer needed
2114,O104310,025-1/-23,Missing/Wrong item
2115,O104313,024-4/-21,Missing/Wrong item
2116,O104324,024-6/-26,Missing/Wrong item
2117,O104350,025-6/-21,Not as described
2118,O104355,025-4/-16,Not as described
2119,O104359,2024-12-30,Not as described
2120,O104363,025-8/-10,Defective
2121,O104391,023-2/-8/,Defective
2122,O104413,025-8/-30,Missing/Wrong item
2123,O104425,025-4/-25,No longer needed
2124,O104435,024-7/-15,Not as described
2125,O104451,25-/2-5/,Missing/Wrong item
2126,O104452,2024-12-12,Missing/Wrong item
2127,O104464,24-/2-1/,Not as described
2128,O104492,025-4/-18,Defective
2129,O104497,024-0/-4/,Missing/Wrong item
2130,O104501,025-5/-19,Missing/Wrong item
2131,O104517,24-/2-3/,Not as described
2132,O104539,024-7/-16,No longer needed
2133,O104547,2024-10-12,Missing/Wrong item
